FID,Long,Lat,Segment,seg_length,n,river_mean,river_medi,river_p20,river_p80,river_min,river_max,land_mean,land_media,land_p20,land_p80,land_min,land_max,width_mean,width_medi,width_p20,width_p80,width_min,width_max,width_sd,averaged,DEM_mean,DEM_median,DEM_p20,DEM_p80,DEM_min,DEM_max,DEM_sd,DEM_n
42,89.116393910699998,22.196705648100000,43,99.999977587999993,5,19.590015160000000,13.072062440000000,12.252784260000000,28.324657630000001,11.527139410000000,34.014475249999997,32.675764749999999,40.582160809999998,14.185480110000000,47.494941070000003,9.108792376000000,51.819389590000000,5.163028071000000,5.250015238000000,4.965102502000000,5.322138093000000,4.827382480000000,5.447383350000000,0.247055643000000,original,3.309012317000000,3.298860100000000,3.177755960000000,3.459810040000000,3.048680100000000,3.671500000000000,0.146954121000000,99
43,89.115806001699994,22.197422824600000,44,100.000037292000002,3,18.065805350000002,20.362373590000001,14.468763340000001,22.122161009999999,10.539689839999999,23.295352619999999,30.558993099999999,32.474271909999999,27.985445880000000,33.515596090000003,24.992895200000000,34.209812200000002,5.086770977000000,5.498904954000000,4.737387100000000,5.518581649000000,4.229708530000000,5.531699446000000,0.742418950000000,original,3.043526010000000,3.021040100000000,2.962484000000000,3.116234060000000,2.881170000000000,3.306550000000000,0.099507847000000,100
44,89.115460542199997,22.198262021300000,45,100.000035397000005,2,12.054004839999999,12.054004839999999,10.057108310000000,14.050901370000000,8.725843962000001,15.382165720000000,18.443541650000000,18.443541650000000,10.747496070000000,26.139587240000001,5.616799021000000,31.270284289999999,4.096445813000000,4.096445813000000,3.450563722000000,4.742327903000000,3.019975662000000,5.172915963000000,1.522358686000000,original,3.280587789000000,3.296140000000000,3.185237980000000,3.387726000000000,2.951030000000000,3.453739900000000,0.112391713000000,100
45,89.115167393600004,22.199122333300000,46,99.999912346200006,3,15.055331570000000,16.587166790000001,11.301339029999999,19.115691160000001,7.777453847000000,20.801374070000001,21.369626759999999,23.081645739999999,16.790994730000001,26.290662590000000,12.597227390000000,28.430007150000002,4.329645300000000,4.279466893000000,4.258512940000000,4.390741979000000,4.244543637000000,4.464925370000000,0.118450122000000,original,3.236988378000000,3.237400100000000,3.103680100000000,3.354334020000000,2.988820100000000,3.460220100000000,0.118114980000000,99
46,89.114864848200000,22.199979977600002,47,100.000001552000001,5,15.222869290000000,15.123910670000001,12.583294090000001,18.094670539999999,10.780035659999999,19.410604310000000,9.905826769000001,8.705790757000001,8.000503491000000,12.390335210000000,7.046387007000000,13.400005950000001,5.240279987000000,5.705324124000000,4.164140245000000,6.065341510000000,3.932651162000000,6.346313661000000,1.090422999000000,original,3.329574995000000,3.412685050000000,3.165234000000000,3.465293900000000,2.867280000000000,3.561019900000000,0.179499432000000,100
47,89.114606009900001,22.200849812100000,48,100.000000127000007,1,13.290688619999999,13.290688619999999,13.290688619999999,13.290688619999999,13.290688619999999,13.290688619999999,10.175150430000000,10.175150430000000,10.175150430000000,10.175150430000000,10.175150430000000,10.175150430000000,5.981511200000000,5.981511200000000,5.981511200000000,5.981511200000000,5.981511200000000,5.981511200000000,0.599329555000000,averaged,3.479301286000000,3.475299950000000,3.423218080000000,3.520288000000000,3.272000100000000,3.683660000000000,0.079266295000000,100
48,89.114376629899994,22.201727074400001,49,100.000074932000004,5,18.706566370000001,19.112389960000002,15.388582560000000,24.168482439999998,6.905438497000000,26.393375689999999,18.419863440000000,19.079291500000000,17.128697469999999,19.399924660000000,16.619369870000000,19.859627520000000,4.126485784000000,4.045912536000000,3.915974244000000,4.391196986000000,3.739247551000000,4.530822244000000,0.316389547000000,original,3.571261096000000,3.608349950000000,3.438914000000000,3.660426060000000,3.303489900000000,3.701489900000000,0.108765423000000,100
49,89.114162793500000,22.202607610299999,50,99.999986514100002,6,20.651343170000001,22.757593000000000,17.424158120000001,26.335851080000001,6.537737782000000,28.095126080000000,32.426897109999999,32.670868059999997,27.960657330000000,36.552326970000003,26.883810000000000,37.822852269999998,3.890427209000000,4.043809906000000,3.285044330000000,4.291311884000000,3.242048120000000,4.436539106000000,0.508650763000000,original,3.447430612000000,3.477200000000000,3.246900100000000,3.607748000000000,3.065830000000000,3.715349900000000,0.180988826000000,99
50,89.113890884300005,22.203473818500001,51,100.000011181999994,2,16.210132330000000,16.210132330000000,15.656682300000000,16.763582370000002,15.287715609999999,17.132549059999999,31.077337320000002,31.077337320000002,28.494102860000002,33.660571779999998,26.771946549999999,35.382728090000001,3.544137770000000,3.544137770000000,3.527292276000000,3.560983264000000,3.516061946000000,3.572213594000000,0.039705211000000,original,3.502650194000000,3.452065000000000,3.387164080000000,3.639486060000000,3.276230100000000,3.722120000000000,0.132978827000000,100
51,89.144151326900001,22.201831078800002,52,99.999997082899995,14,22.467927270000001,22.991223020000000,16.097917490000000,27.029666299999999,11.020799960000000,34.608668479999999,25.651314840000001,28.568156330000001,16.662209030000000,31.994839490000000,4.370876935000000,39.918363110000001,3.763266142000000,3.761840353000000,3.216551536000000,3.955231545000000,2.672974740000000,5.239683674000000,0.735093730000000,original,3.774426764000000,3.820960000000000,3.515654020000000,3.941654000000000,3.500809900000000,3.989379900000000,0.181317548000000,99
